NameDescription,PRODUCT CATEGORY,Cost,Sales Price,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sept 2021,Oct 2021,Nov 2021,Dec 2021,TOTAL,,
6553 (2Pcs S/S FOOD CONTAINER  (24SETS)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	2.00 , 	-   , 	-   , 	3.00 , 	-   , 	-   , 	1.00 , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	7.00 ,,
6857/8/9/60 (6857/8/9/60 4Pcs S/S FOOD CONTAINER (18SETS)),PLASTIC FOOD CONTAINER, $	13.00 , $	24.70 , 	-   , 	-   , 	1.00 , 	5.00 , 	2.00 , 	27.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	35.00 ,,
8532 (8532 1.4L PLASTIC FOOD CONTAINER (36PCS)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	-   , 	1.00 , 	-   , 	-   , 	1.00 , 	-   , 	5.00 , 	-   , 	-   , 	-   , 	-   , 	7.00 ,,
8850 (8850 600ml PLASTIC FOOD CONTAINER (60PCS)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	1.00 , 	1.00 , 	2.00 , 	-   , 	3.00 , 	-   , 	-   , 	5.98 , 	-   , 	-   , 	-   , 	-   , 	12.98 ,,
8861 (700ml FOOD CONTAINER  (48PCS)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	-   , 	-   , 	1.00 , 	1.00 , 	-   , 	-   , 	4.00 , 	-   , 	-   , 	-   , 	-   , 	6.00 ,,
8862 (8862 1.0L PLASTIC FOOD CONTAINER (36 PCS)),PLASTIC FOOD CONTAINER, $	13.00 , $	24.70 , 	-   , 	-   , 	-   , 	1.00 , 	1.00 , 	-   , 	2.00 , 	4.00 , 	-   , 	-   , 	-   , 	-   , 	8.00 ,,
8927 (8927 PLASTIC FOOD CONTAINER (36SETS)),PLASTIC FOOD CONTAINER, $	13.00 , $	24.70 , 	1.00 , 	-   , 	(4.72), 	-   , 	-   , 	-   , 	4.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	0.28 ,,
9559 (9559 PLASTIC FOOD CONTAINER (24SETS)),PLASTIC FOOD CONTAINER, $	13.00 , $	24.70 , 	1.00 , 	2.00 , 	0.54 , 	-   , 	2.00 , 	-   , 	-   , 	-   , 	17.00 , 	-   , 	-   , 	-   , 	22.54 ,,
AMBASSADOR  CREME (AMBASSADOR  CREME FURNITURE CHAIR (1PC)),FURNITURE , $	30.00 , $	34.50 , 	630.00 , 	-   , 	212.00 , 	-   , 	200.00 , 	150.00 , 	-   , 	280.00 , 	60.00 , 	-   , 	424.00 , 	324.00 ," 	2,280.00 ",,
AMBASSADOR BLANC (AMBASSADOR BLANC FURNITURE CHAIR (1PC)),FURNITURE , $	30.00 , $	34.50 , 	92.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	12.00 , 	-   , 	104.00 ,,
AMBASSADOR VERT (AMBASSADOR VERT (1PC)),FURNITURE , $	330.00 , $	379.50 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	15.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	15.00 ,,
AMBASSADOR WOOD (AMBASSADOR WOOD FURNITUR  CHAIR (1PC)),FURNITURE , $	30.00 , $	34.50 , 	320.00 , 	-   , 	190.00 , 	-   , 	200.00 , 	260.00 , 	-   , 	400.00 , 	120.00 , 	-   , 	240.00 , 	290.00 ," 	2,020.00 ",,
TABLE BLANC (TABLE BLANC FURNITURE (1PC)),FURNITURE , $	20.00 , $	23.00 , 	(1.00), 	24.00 , 	-   , 	40.00 , 	-   , 	-   , 	-   , 	-   , 	20.00 , 	-   , 	-   , 	-   , 	83.00 ,,
TABLE CREME NEW (TABLE CREME NEW(1 PCS)),FURNITURE , $	20.00 , $	23.00 , 	190.00 , 	-   , 	-   , 	20.00 , 	200.00 , 	250.00 , 	(12.00), 	-   , 	-   , 	100.00 , 	120.00 , 	200.00 ," 	1,068.00 ",,
TABLE MARRON (TABLE MARRON FURNITURE (1 PC)),FURNITURE , $	20.00 , $	23.00 , 	200.00 , 	-   , 	-   , 	50.00 , 	200.00 , 	240.00 , 	-   , 	-   , 	-   , 	400.00 , 	120.00 , 	-   ," 	1,210.00 ",,
XY-1063 (XY-1063 (1TABLE & 4 CHAIRS)),FURNITURE , $	60.00 , $	111.00 , 	-   , 	-   , 	6.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	6.00 ,,
2028 BLANC (2028 BLANC (1PCS)),FURNITURE , $	60.00 , $	81.00 , 	18.00 , 	60.00 , 	12.00 , 	-   , 	-   , 	-   , 	40.00 , 	64.00 , 	-   , 	-   , 	-   , 	58.00 , 	252.00 ,,
2028 CREME (2028 CREME (1PCS)),FURNITURE , $	60.00 , $	81.00 , 	-   , 	8.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	8.00 ,,
2028 MB (2028 Marble Bege (1PCS)),FURNITURE , $	60.00 , $	81.00 , 	132.00 , 	-   , 	212.00 , 	600.00 , 	-   , 	820.00 , 	(80.00), 	200.00 , 	-   , 	-   , 	860.00 , 	-   ," 	2,744.00 ",,
2028 WOOD (2028 SANDALWOOD CHAIR (1PCS)),FURNITURE , $	20.00 , $	27.00 , 	-   , 	-   , 	-   , 	-   , 	-   ," 	2,300.00 ", 	940.00 , 	-   , 	-   , 	-   , 	-   , 	-   ," 	3,240.00 ",,
2029 BLANC (2029 Blanc (1PCS)),FURNITURE , $	20.00 , $	27.00 , 	12.00 , 	48.00 , 	48.00 , 	-   , 	-   , 	-   , 	80.00 , 	44.00 , 	-   , 	200.00 , 	18.00 , 	66.00 , 	516.00 ,,
2029 MB'' (2029 CHAIR M. Bege (1PCS)),FURNITURE , $	20.00 , $	27.00 , 	12.00 , 	-   , 	212.00 , 	360.00 , 	-   , 	120.00 , 	(40.00), 	120.00 , 	200.00 , 	200.00 , 	392.00 ," 	2,656.00 "," 	4,232.00 ",,
2029 SANDALWOOD (2029 CHAIR WOOD (1PCS)),FURNITURE , $	20.00 , $	27.00 , 	-   , 	-   , 	-   , 	-   , 	-   ," 	1,800.00 ", 	80.00 , 	-   , 	400.00 , 	612.00 ," 	1,024.00 ", 	-   ," 	3,916.00 ",,
2035 SAN (2035 SANDALWOOD CHAIR (1PC)),FURNITURE , $	20.00 , $	27.00 ," 	1,032.00 ", 	-   ," 	1,924.00 ", 	-   , 	-   , 	-   , 	72.00 , 	-   , 	-   , 	-   , 	8.00 , 	-   ," 	3,036.00 ",,
2035 W (2035 WHITE CHAIR (1PC)),FURNITURE , $	20.00 , $	27.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	100.00 , 	100.00 ,,
2035 WHITE (2035 WHITE CHAIR (1PC)),FURNITURE , $	20.00 , $	27.00 , 	17.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	252.00 , 	4.00 , 	-   , 	12.00 , 	12.00 , 	56.00 , 	353.00 ,,
2035 MB CHAIR PRIMA (2035 MARBLE BEIGE (1PC)) - Other,FURNITURE , $	20.00 , $	27.00 , 	400.00 , 	-   , 	570.00 , 	-   , 	300.00 , 	-   , 	28.00 , 	-   , 	-   , 	-   , 	-   , 	-   ," 	1,298.00 ",,
311 MARBLE BEGE (311 STOOL  MARBLE BEGE (1PCS)),FURNITURE , $	12.00 , $	16.20 , 	200.00 , 	-   , 	15.00 , 	-   , 	(11.00), 	650.00 , 	140.00 , 	200.00 , 	495.00 , 	200.00 , 	-   , 	625.00 ," 	2,514.00 ",,
311B (311 STOOL WHITE (1PC)),FURNITURE , $	12.00 , $	16.20 , 	-   , 	-   , 	12.00 , 	-   , 	-   , 	-   , 	40.00 , 	30.00 , 	50.00 , 	-   , 	-   , 	56.00 , 	188.00 ,,
311S.Wood (311 STOOL S.WOOD (1PC)),FURNITURE , $	12.00 , $	16.20 ," 	1,270.00 ", 	-   , 	(108.00), 	-   , 	(10.00)," 	1,050.00 "," 	1,055.00 ", 	165.00 , 	325.00 , 	325.00 , 	115.00 , 	506.00 ," 	4,693.00 ",,
311 STOOL PRIMA (311 STOOL PRIMA  (1PC)) - Other,FURNITURE , $	12.00 , $	16.20 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	25.00 , 	586.00 , 	611.00 ,,
4010 MARBLE BEIGE (N0.4010 MARBLE BEIGE( 1PC)),FURNITURE , $	30.00 , $	40.50 , 	14.00 , 	-   , 	12.00 , 	-   , 	167.00 , 	50.00 , 	(50.00), 	-   , 	-   , 	207.00 , 	-   , 	120.00 , 	520.00 ,,
4010 SANDALWOOD (N0.4010 SANDALWOOD(PC)),FURNITURE , $	30.00 , $	40.50 , 	12.00 , 	32.00 , 	12.00 , 	-   , 	149.00 , 	200.00 , 	200.00 , 	-   , 	-   , 	39.00 , 	120.00 , 	540.00 ," 	1,304.00 ",,
5000 MARBLE (DINNING TABLE N0.5000 MARBLE BEIGE (1PCS)),FURNITURE , $	50.00 , $	67.50 , 	-   , 	-   , 	-   , 	-   , 	80.00 , 	-   , 	1.00 , 	-   , 	-   , 	70.00 , 	-   , 	70.00 , 	221.00 ,,
5000 SANDALWOOD (DINNING TABLE N0.5000 SANDALWOOD (1PCS)),FURNITURE , $	50.00 , $	67.50 , 	-   , 	-   , 	-   , 	-   , 	150.00 , 	-   , 	140.00 , 	-   , 	-   , 	-   , 	-   , 	20.00 , 	310.00 ,,
5000 WHITE (DINNING TABLE N0.5000 WHITE (1PCS)),FURNITURE , $	50.00 , $	67.50 , 	-   , 	-   , 	-   , 	17.00 , 	-   , 	-   , 	-   , 	-   , 	2.00 , 	1.00 , 	-   , 	-   , 	20.00 ,,
114 BLUE FOR BABY SET (114 BLUE FOR BABY SET(1PC)),FURNITURE , $	20.00 , $	27.00 , 	200.00 , 	-   , 	-   , 	-   , 	-   , 	250.00 , 	-   , 	-   , 	-   , 	-   , 	300.00 , 	-   , 	750.00 ,,
114 PINK FOR BABY SET (114 PINK FOR BABY SET (1PC)),FURNITURE , $	20.00 , $	27.00 , 	200.00 , 	-   , 	-   , 	-   , 	-   , 	250.00 , 	-   , 	-   , 	-   , 	-   , 	300.00 , 	-   , 	750.00 ,,
N0. BIG BOSS-1 MARBLE BEIGE ( BIG BOSS-1 MARBLE BEIGE PLASTIC CHAIR (1PC)),FURNITURE , $	30.00 , $	40.50 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	400.00 , 	-   , 	100.00 , 	112.00 , 	650.00 ," 	1,262.00 ",,
N0. BIG BOSS-1 SANDALWOOD (BIG BOSS-1 SANDALWOOD PLASTIC CHAIR (1PC)),FURNITURE , $	30.00 , $	40.50 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	900.00 , 	-   , 	200.00 , 	224.00 ," 	2,350.00 "," 	3,674.00 ",,
KID'S STUDY TABLE  B. (KID'S STUDY TABLE  BLUE (1PC)),FURNITURE , $	30.00 , $	40.50 , 	2.00 , 	-   , 	-   , 	5.00 , 	-   , 	-   , 	3.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	10.00 ,,
KID'S STUDY TABLE  P. (KID'S STUDY TABLE  PINK),FURNITURE , $	30.00 , $	40.50 , 	2.00 , 	6.00 , 	-   , 	5.00 , 	6.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	4.00 , 	-   , 	23.00 ,,
NOVA BROWN (N0. NOVA WEATHER BROWN(1 PC)),FURNITURE , $	50.00 , $	67.50 , 	-   , 	-   , 	6.00 , 	8.00 , 	99.00 , 	8.00 , 	4.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	125.00 ,,
NOVA ORANGE (N0. NOVA ORANGE (1 PCS)),FURNITURE , $	50.00 , $	67.50 , 	-   , 	-   , 	-   , 	12.00 , 	102.00 , 	12.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	126.00 ,,
NOVA RED (N0.NOVA RED(1PC)),FURNITURE , $	50.00 , $	67.50 , 	12.00 , 	6.00 , 	-   , 	4.00 , 	43.00 , 	6.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	71.00 ,,
PLATINUM-2 MARBLE (PLATINUM-2 MARBLE BEIGE),FURNITURE , $	20.00 , $	27.00 , 	124.00 , 	-   , 	12.00 , 	-   , 	-   , 	-   , 	50.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	186.00 ,,
QUICK-3 MAROON (QUICK-3 MAROON),FURNITURE , $	20.00 , $	27.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	42.00 , 	4.00 , 	42.00 , 	-   , 	54.00 , 	110.00 , 	252.00 ,,
QUICK3 (QUICKR3 S. WOOD),FURNITURE , $	20.00 , $	27.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,
RACE-3 (RACE-3 MARBLE BEIGE (1PCS)),FURNITURE , $	20.00 , $	27.00 , 	-   , 	-   , 	-   , 	-   , 	100.00 , 	244.00 , 	-   , 	60.00 , 	-   , 	15.00 , 	60.00 , 	12.00 , 	491.00 ,,
RACE-3 (SANDALWOOD) (RACE-3 (SANDALWOOD) (1PCS)),FURNITURE , $	20.00 , $	27.00 , 	-   , 	-   , 	-   , 	-   , 	100.00 , 	452.00 , 	(12.00), 	204.00 , 	-   , 	15.00 , 	240.00 , 	24.00 ," 	1,023.00 ",,
RELAX-1SANDAL WOOD (RELAX1 SANDALWOOD PLASTIC CHAIR (1PC)),FURNITURE , $	20.00 , $	27.00 , 	912.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	912.00 ,,
RELAX -1 WHITE (RELAX -1 WHITE PLASTIC CHAIR (1PC)),FURNITURE , $	20.00 , $	27.00 , 	112.00 , 	-   , 	12.00 , 	-   , 	-   , 	220.00 , 	-   , 	4.00 , 	-   , 	4.00 , 	-   , 	100.00 , 	452.00 ,,
RELAX WOOD (RELAX CHAIR WOOD (1PCS)),FURNITURE , $	20.00 , $	27.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," 	2,060.00 "," 	1,204.00 ", 	-   , 	12.00 , 	600.00 , 	960.00 ," 	4,836.00 ",,
RELLAX-1 MARBLE BEGE (RELLAX-1 MARBLE BEGE PLASTIC CHAIR (1PC)),FURNITURE , $	20.00 , $	27.00 , 	724.00 , 	-   , 	212.00 , 	-   , 	-   , 	560.00 , 	-   , 	700.00 , 	-   , 	-   , 	200.00 , 	360.00 ," 	2,756.00 ",,
5008  SANDAL WOOD (5008 STOOL  SANDAL WOOD (1PCS)),FURNITURE , $	20.00 , $	27.00 , 	-   , 	-   , 	-   , 	-   , 	36.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	6.00 , 	42.00 ,,
5008 MARBLE BEIGE (5008 MARLE BEIGEPLASTIC TROLLEY(1PCS)),FURNITURE , $	20.00 , $	27.00 , 	-   , 	-   , 	-   , 	-   , 	36.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	36.00 ,,
8775 (8775 ( FOLDING STOOL 12 PCS)),FURNITURE , $	16.00 , $	21.60 , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	4.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	5.00 ,,
STOOL CHERRY WOOD (STOOL CHERRY WOOD (1PC)),FURNITURE , $	20.00 , $	27.00 , 	-   , 	27.00 , 	2.00 , 	6.00 , 	-   , 	-   , 	8.00 , 	-   , 	-   , 	8.00 , 	-   , 	-   , 	51.00 ,,
STOOL RATTAN BROWN (STOOL RATTAN BROWN (1PC)),FURNITURE , $	20.00 , $	27.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	4.00 , 	-   , 	-   , 	8.00 , 	15.00 , 	27.00 ,,
BRC-07B+Cover (BRC-07B ROUND BOWL+ BRC-07C COVER (60 Sets)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	0.98 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	0.98 ,,
BRC-07L (BRC-07 0.7L  ROUND CASSEROLE + COVER  (24 SETS)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	5.00 , 	2.00 , 	-   , 	5.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	12.00 ,,
BRC-1.0L (BRC-1 0.1L  ROUND CASSEROLE+ COVER (12 SETS)),GLASSE WARE, $	13.00 , $	20.15 , 	2.00 , 	6.00 , 	7.00 , 	-   , 	5.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	20.00 ,,
BRC-1.5L With Cover (BRC-1 5L  ROUND CASSEROLE+ COVER (12 Sets)),GLASSE WARE, $	13.00 , $	20.15 , 	1.00 , 	5.00 , 	7.00 , 	-   , 	5.00 , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	63.00 , 	83.00 ,,
BRC-2.5B (BRC-2.5B ROUND CASSEROLEBOTTOM BRC-2.5C (20 Sets)),GLASSE WARE, $	13.00 , $	20.15 , 	(2.00), 	5.00 , 	5.00 , 	-   , 	10.00 , 	2.00 , 	2.00 , 	5.00 , 	2.00 , 	-   , 	-   , 	55.00 , 	84.00 ,,
BRC-2L With Cover (BRC-2L  ROUND CASSEROLE+ COVER (12 Sets)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	5.00 , 	5.00 , 	-   , 	10.00 , 	3.00 , 	-   , 	-   , 	4.00 , 	-   , 	-   , 	-   , 	27.00 ,,
BSC-1.5B Square+ Cover (BSC-1.5B + 1.5L COVER/ SQUARE CASSEROLE (30Sets)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	0.56 , 	-   , 	-   , 	5.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	5.56 ,,
BSC-5.0L With Cover (BSC-5.0L SQUARE CASSEROLE + COVER W/STAINLESS HAND (5SETS)),GLASSE WARE, $	13.00 , $	20.15 , 	-   , 	0.50 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	0.50 ,,
RP-3.3L Rect (RP-3.3L  RECTANGULAR BAKEWARE(15 PCS)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1.00 ,,
102 Bobeche (BURNER (6PCS INNER BOX) (60Pcs/ Ctn)),GLASSE WARE, $	12.00 , $	18.60 , 	134.00 , 	27.00 , 	-   , 	(2.00), 	-   , 	-   , 	-   , 	-   , 	20.00 , 	193.00 , 	22.00 , 	58.00 , 	452.00 ,,
CHEMINEE 003 (CHEMINEE 003 (4DZ)),GLASSE WARE, $	15.00 , $	23.25 , 	910.00 , 	297.00 , 	41.00 , 	-   , 	-   , 	1.00 , 	-   , 	-   , 	400.00 , 	260.00 , 	20.00 , 	30.00 ," 	1,959.00 ",,
LB003 LAMP BASE (LB003 LAMP BASE ( 36PCS)),GLASSE WARE, $	13.00 , $	20.15 , 	260.00 , 	115.00 , 	(1.61), 	-   , 	30.00 , 	175.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	297.00 , 	875.39 ,,
Wick 20M/ 60Roll (WICK  20M/( 60ROLLS)),GLASSE WARE, $	12.00 , $	18.60 , 	8.00 , 	13.00 , 	7.00 , 	3.00 , 	5.00 , 	10.00 , 	2.00 , 	2.00 , 	-   , 	28.00 , 	1.00 , 	11.00 , 	90.00 ,,
AB57 (AB57 GLASS JUG WITH 6 CUPS 6/CTN),GLASSE WARE, $	11.00 , $	17.05 , 	-   , 	3.83 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.83 ,,
AB67 (AB67 GLASS JUG WITH 6 CUPS 6/CTN),GLASSE WARE, $	14.00 , $	21.70 , 	-   , 	5.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	5.00 ,,
BL1000 (BL1000 Glass bowl/ Plastic cover (12 sets of 5 Pcs)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	3.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.00 ,,
DP-099A (DP999A),GLASSE WARE, $	11.00 , $	17.05 , 	-   , 	7.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	7.00 ,,
"6255148 (6255148 GLASS TUMBLER CLEAR (6PCS/SET, 8SETS/CTN))",GLASSE WARE, $	11.00 , $	17.05 , 	-   , 	0.48 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	0.48 ,,
6355142C-SET12-P6 (6355142C-SET12-P6 (6SETS /CTN)),GLASSE WARE, $	10.00 , $	15.50 , 	-   , 	1.66 , 	-   , 	121.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	122.66 ,,
"7052149 (7052149  GLASS TUMBLER 3PCS WINDOW BOX,  24SETS/CTN)",GLASSE WARE, $	9.00 , $	13.95 , 	-   , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	2.00 ,,
"7559127 (7559127  GLASS TUMBLER (6PCS/SET, 8SETS/CTN))",GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1.00 ,,
Wine-Tumbler (Wine-Tumbler(48pcs)),GLASSE WARE, $	13.00 , $	20.15 , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1.00 ,,
16200 (16200 CHECKER ROSE SPECIAL BIG DISH(8PCS)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	1.00 , 	2.00 , 	-   , 	-   , 	6.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	32.00 , 	41.00 ,,
HR-T5 (HR-T5 TUSCANY SMALL CANISTER(36 SETS)),GLASSE WARE, $	11.00 , $	17.05 , 	-   , 	-   , 	-   , 	3.00 , 	3.00 , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	2.00 , 	1.00 , 	11.00 ,,
M-08152 (M-08152 NATURAL EXTRA DISH(8PCS)),GLASSE WARE, $	11.00 , $	17.05 , 	-   , 	1.00 , 	2.00 , 	17.50 , 	3.00 , 	9.00 , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	34.50 ,,
M-1012 (M-1012 TUMBLER-1012(72PCS)),GLASSE WARE, $	10.00 , $	15.50 , 	0.33 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	0.33 ,,
M-16200/1-1 GB (M-16200/1-1 GB CHECKER ROSESPECIAL BIG DISH MAXIM(8PCS)),GLASSE WARE, $	9.00 , $	13.95 , 	2.00 , 	1.00 , 	3.00 , 	5.00 , 	3.00 , 	8.00 , 	-   , 	3.00 , 	-   , 	-   , 	-   , 	4.00 , 	29.00 ,,
M-375 (M-375 OCTO TUMBLER (48PCS)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	1.00 , 	2.00 , 	-   , 	-   , 	2.00 , 	-   , 	-   , 	2.00 , 	-   , 	-   , 	-   , 	7.00 ,,
MB-30014 (MB-30014 MARGARETH BOWL(144PCS)),GLASSE WARE, $	13.00 , $	20.15 , 	-   , 	-   , 	1.00 , 	4.00 , 	-   , 	-   , 	-   , 	-   , 	4.00 , 	-   , 	-   , 	-   , 	9.00 ,,
MBREC46-7.5 (MBREC46-7.5 RECTANGULER FRESH BOX 7.5(WITH LID)(18SETS)),GLASSE WARE, $	13.00 , $	20.15 , 	4.00 , 	2.00 , 	39.00 , 	6.00 , 	5.00 , 	29.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	85.00 ,,
MBSQ46-5.7 (MBSQ46-5.7 SQUARE FRESH BOX 5.7(WITH LID)(18SETS)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	0.28 , 	4.00 , 	-   , 	-   , 	-   , 	-   , 	3.00 , 	-   , 	-   , 	-   , 	-   , 	7.28 ,,
MIC 37-8 (MIC 37-8 CASTILLO ICE CREAM CUP 18(36PCS)),GLASSE WARE, $	11.00 , $	17.05 , 	1.00 , 	0.67 , 	-   , 	-   , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.67 ,,
MJ12-4.7 (MJ12-4.7 WATER JUG-4.7(12PCS)),GLASSE WARE, $	14.00 , $	21.70 , 	1.00 , 	4.50 , 	1.00 , 	4.00 , 	31.00 , 	262.00 , 	3.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	306.50 ,,
MM63-13 (MM63-13 DRAFT MUG 13(36PCS)),GLASSE WARE, $	12.00 , $	18.60 , 	1.00 , 	-   , 	1.00 , 	-   , 	1.00 , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	1.00 , 	-   , 	5.00 ,,
MMR-16 (MMR-16 RING MUG 16(48PCS)),GLASSE WARE, $	11.00 , $	17.05 , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	2.00 , 	1.00 , 	-   , 	-   , 	-   , 	17.00 , 	21.00 ,,
MST 01-09/3-2 GB (MST 01-09/3-2 GB JAVA STEMWARE9(48PCS)),GLASSE WARE, $	14.00 , $	21.70 , 	2.00 , 	2.00 , 	2.00 , 	5.00 , 	10.00 , 	10.75 , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	32.75 ,,
MST 01-09A/3-2 GB (MST 01-09A/3-2 GB FLORES STEMWARE(48PCS)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	-   , 	-   , 	2.00 , 	10.00 , 	21.00 , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	35.00 ,,
MST 01-11A/3-2 GB (MST 01-11A/3-2 GB BALI STEAMWARE 11A(48PCS)),GLASSE WARE, $	11.00 , $	17.05 , 	2.00 , 	3.00 , 	2.00 , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	9.00 ,,
MST 01-11A/3-2SW (MST 01-11A/3-2SW BALI STEMWARE 11A(48PCS)),GLASSE WARE, $	11.00 , $	17.05 , 	-   , 	2.00 , 	-   , 	2.00 , 	7.00 , 	22.13 , 	11.75 , 	-   , 	-   , 	-   , 	-   , 	-   , 	44.88 ,,
MT12-10P (MT12-10P PRINTING CLEAR TUMBLER 10(48PCS)),GLASSE WARE, $	10.00 , $	15.50 , 	-   , 	-   , 	-   , 	21.00 , 	-   , 	-   , 	0.75 , 	-   , 	-   , 	-   , 	-   , 	10.00 , 	31.75 ,,
MT12-12/2-2 GWB (MT12-12/2-2 GWB 4PCS CLEAR TUMBLER 12(12 SETS)),GLASSE WARE, $	9.00 , $	13.95 , 	-   , 	10.50 , 	-   , 	-   , 	-   , 	-   , 	0.50 , 	-   , 	-   , 	-   , 	-   , 	-   , 	11.00 ,,
