NameDescription,PRODUCT CATEGORY,Cost,Sales Price,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sept 2021,Oct 2021,Nov 2021,Dec 2021,TOTAL,,
768# FE GOUS (768# FE GOUS (6PCS)),CHARCOAL IRON, $	12.00 , $	19.80 , 	650.00 , 	252.00 , 	365.00 , 	260.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," 	1,527.00 ",,
ZF768 (ZF768  FE GOUS (6 pc)),CHARCOAL IRON, $	12.00 , $	19.80 ,,,,,,,,,,,,, 	-   ,,
FE KARO** (758 FE KARO  (6Pcs)),CHARCOAL IRON, $	12.00 , $	19.80 , 	-   , 	15.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	0.33 , 	-   , 	519.00 , 	345.00 , 	879.33 ,,
2017-29 (2017-29 WINDOW CURTAIN PRINTING SHEER WITH SINGLE LAYER ),CURTAIN, $	8.00 , $	14.00 , 	4.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	4.00 ,,
2019-42 POLYESTER WINDOW CURTAIN W/ SINGLE LAYER ,CURTAIN, $	8.00 , $	14.00 , 	3.00 , 	-   , 	7.00 , 	1.00 , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	10.00 , 	-   , 	23.00 ,,
1149A WINDOW CURTAIN POLYESTER WITH SINGLE LAYER ,CURTAIN, $	8.00 , $	14.00 , 	3.00 , 	-   , 	36.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	39.00 ,,
2019-49 (2019-49 SHEER WINDOW CURTAIN W/ SINGLE LAYER ),CURTAIN, $	8.00 , $	14.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	6.00 , 	-   , 	6.00 ,,
2020-004 (2020-004 ORGANZA WINDOW CURTAIN W SINGLE LAYER ),CURTAIN, $	8.00 , $	14.00 , 	9.00 , 	-   , 	13.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	22.00 ,,
GG021  SHEER  WINDOW CURTAIN W/ TAFFETA,CURTAIN, $	8.00 , $	14.00 , 	1.00 , 	-   , 	6.00 , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	17.00 , 	5.00 , 	30.00 ,,
3001 (3001 SHEER WINDOW CURTAIN W/ TAFFETA),CURTAIN, $	8.00 , $	14.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	7.00 , 	-   , 	7.00 ,,
3003 WINDOW CURTAIN SHEER W/ TAFFETA ,CURTAIN, $	8.00 , $	14.00 , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	19.00 , 	-   , 	20.00 ,,
3004 (3004 WINDOW CURTAIN SHEER W/ TAFFETA),CURTAIN, $	8.00 , $	14.00 , 	-   , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	30.00 , 	-   , 	31.00 ,,
C0101 (C0101 DOOR CURTAIN),CURTAIN, $	7.00 , $	12.25 , 	1.00 , 	-   , 	(0.43), 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1.00 , 	18.00 , 	19.57 ,,
C0116 (C0116 DOOR CURTAIN ),CURTAIN, $	7.00 , $	12.25 , 	1.00 , 	-   , 	2.00 , 	2.00 , 	14.00 , 	-   , 	-   , 	2.00 , 	1.00 , 	-   , 	9.00 , 	50.00 , 	81.00 ,,
C1160 (C1160 DOOR CURTAIN ),CURTAIN, $	7.00 , $	12.25 , 	-   , 	-   , 	6.98 , 	1.00 , 	1.00 , 	-   , 	-   , 	-   , 	1.00 , 	-   , 	-   , 	21.00 , 	30.98 ,,
C4790 (C4790 WINDOW CURTAIN POLYESTER ),CURTAIN, $	7.00 , $	12.25 , 	1.00 , 	-   , 	(0.64), 	-   , 	-   , 	5.00 , 	-   , 	-   , 	-   , 	-   , 	26.00 , 	15.00 , 	46.36 ,,
C5390 (C5390 DOOR CURTAIN ),CURTAIN, $	7.00 , $	12.25 , 	-   , 	-   , 	419.00 , 	224.00 , 	262.00 , 	81.00 , 	136.00 , 	142.00 , 	287.00 , 	403.00 , 	519.00 , 	35.00 ," 	2,508.00 ",,
C6484 (C6484 DOOR CURTAIN ),CURTAIN, $	7.00 , $	12.25 , 	-   , 	-   , 	0.98 , 	-   , 	175.00 , 	75.00 , 	111.00 , 	124.00 , 	19.00 , 	-   , 	-   , 	-   , 	504.98 ,,
CG008 (CG008 SHEER W/ TAFFETA),CURTAIN, $	7.00 , $	12.25 , 	3.00 , 	-   , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	20.00 , 	6.00 , 	31.00 ,,
